Year,District,week_index,avg_rainfall,Avg_Temperature,Avg_Humidity,Population,People_Displaced,Fatalities,Days_Since_Flood_Start,Waterbody_Proximity,Malaria_cases,AD_cases,Typhoid_cases
2026,Kachhi (Bolan),4,,,,,,,,,314,254,0
2026,Kalat,4,,,,271560,,,,,0,0,0
2026,Kech (Turbat),4,,,,1060931,,,,,NR,NR,NR
2026,Kharan,4,,,,260352,,,,,10,139,5
2026,Khuzdar,4,,,,997214,,,,,NR,NR,NR
2026,Killa Abdullah,4,,,,361971,,,,,2,78,16
2026,Killa Saifullah,4,,,,380200,,,,,94,145,12
2026,Kohlu,4,,,,260220,,,,,11,58,NR
2026,Lasbella,4,,,,680977,,,,,211,275,6
2026,Loralai,4,,,,272432,,,,,9,152,20
2026,Mastung,4,,,,313271,,,,,14,111,7
2026,MusaKhel,4,,,,196756,,,,,NR,NR,NR
2026,Naseerabad,4,,,,563315,,,,,93,266,26
2026,Nushki,4,,,,207834,,,,,2,28,0
2026,Panjgur,4,,,,509781,,,,,NR,NR,NR
2026,Pishin,4,,,,835482,,,,,NR,NR,NR
2026,Quetta,4,,,,2595492,,,,,7,256,16
2026,Sherani,4,,,,191687,,,,,NR,NR,NR
2026,Sibi,4,,,,224148,,,,,124,426,46
2026,Sohbat pur,4,,,,240106,,,,,NR,NR,NR
2026,Surab,4,,,,279038,,,,,0,6,0
2026,Usta Muhammad,4,,,,,,,,,35,211,0
2026,Washuk,4,,,,302623,,,,,NR,NR,NR
2026,Zhob,4,,,,355692,,,,,0,13,0
2026,Ziarat,4,,,,189535,,,,,11,67,23
2026,Abbottabad,4,,,,1419072,,,,,0,389,25
2026,Bajaur,4,,,,,,,,,101,484,1
2026,Bannu,4,,,,1357890,,,,,874,625,72
2026,Battagram,4,,,,335984,,,,,8,177,NR
2026,Buner,4,,,,,,,,,92,194,7
2026,Charsadda,4,,,,1835504,,,,,177,1402,78
2026,Chitral Lower,4,,,,,,,,,3,167,2
2026,Chitral Upper,4,,,,195528,,,,,1,53,7
2026,D.I. Khan,4,,,,1829811,,,,,89,1153,0
2026,Dir Lower,4,,,,,,,,,50,699,16
2026,Dir Upper,4,,,,,,,,,8,467,3
2026,Hangu,4,,,,528902,,,,,57,230,0
2026,Haripur,4,,,,1174783,,,,,0,748,0
2026,Karak,4,,,,815878,,,,,52,285,3
2026,Khyber,4,,,,1146267,,,,,54,246,33
2026,Kohat,4,,,,1234661,,,,,30,367,9
2026,Kohistan Lower,4,,,,340017,,,,,0,91,0
2026,Kohistan Upper,4,,,,422947,,,,,3,186,1
2026,Kolai Palas,4,,,,280162,,,,,0,41,1
2026,L & C Kurram,4,,,,,,,,,3,10,2
2026,Lakki Marwat,4,,,,1040856,,,,,109,196,9
2026,Malakand,4,,,,,,,,,12,436,0
2026,Mansehra,4,,,,1797177,,,,,0,442,20
2026,Mardan,4,,,,2744898,,,,,38,716,17
2026,Mohmand,4,,,,553933,,,,,44,32,0
2026,North Waziristan,4,,,,693332,,,,,59,29,36
2026,Nowshera,4,,,,1740705,,,,,66,987,11
2026,Orakzai,4,,,,387561,,,,,0,42,0
2026,Peshawar,4,,,,4758762,,,,,7,2334,7
2026,Shangla,4,,,,,,,,,32,324,3
2026,South Waziristan (Lower),4,,,,,,,,,12,58,8
2026,SWU,4,,,,,,,,,8,31,0
2026,Swabi,4,,,,1894600,,,,,57,777,33
2026,Swat,4,,,,,,,,,8,1300,25
2026,Tank,4,,,,470293,,,,,78,365,0
2026,Tor Ghar,4,,,,200445,,,,,24,46,4
2026,Upper Kurram,4,,,,785434,,,,,7,106,5
2026,Badin,5,,,,1947081,,,,,1969,1597,48
2026,Dadu,5,,,,1742320,,,,,3075,1782,124
2026,Ghotki,5,,,,1772609,,,,,1842,745,0
2026,Hyderabad,5,,,,2432540,,,,,662,1894,1
2026,Jacobabad,5,,,,1174097,,,,,967,522,10
2026,Jamshoro,5,,,,1117308,,,,,1620,1197,27
2026,Kamber,5,,,,1514869,,,,,2286,1317,16
2026,Karachi Central,5,,,,3822325,,,,,17,1555,75
2026,Karachi East,5,,,,3950031,,,,,24,317,0
2026,Karachi Keamari,5,,,,2068451,,,,,3,622,9
2026,Karachi Korangi,5,,,,3128971,,,,,69,328,13
2026,Karachi Malir,5,,,,2403959,,,,,116,1185,17
2026,Karachi South,5,,,,2329764,,,,,9,84,0
2026,Karachi West,5,,,,2679380,,,,,370,828,24
2026,Kashmore,5,,,,1233957,,,,,1591,201,0
2026,Khairpur,5,,,,2597535,,,,,4241,2659,131
2026,Larkana,5,,,,1784453,,,,,3089,1164,5
2026,Matiari,5,,,,849383,,,,,1848,984,1
2026,Mirpurkhas,5,,,,1681386,,,,,1201,2245,45
2026,Naushero Feroze,5,,,,1777082,,,,,1386,1400,35
2026,Sanghar,5,,,,2308465,,,,,3239,1534,11
2026,Shaheed Benazirabad,5,,,,1845102,,,,,1758,1310,100
2026,Shikarpur,5,,,,1386330,,,,,1642,836,4
2026,Sujawal,5,,,,839292,,,,,723,1225,15
2026,Sukkur,5,,,,1639897,,,,,1327,857,5
2026,Tando Allahyar,5,,,,922012,,,,,802,756,4
2026,Tando Muhammad Khan,5,,,,726119,,,,,405,655,0
2026,Tharparkar,5,,,,1778407,,,,,1412,1677,10
2026,Thatta,5,,,,1083191,,,,,817,993,9
2026,Umerkot,5,,,,1159831,,,,,1619,1225,24
2026,Awaran,5,,,,178958,,,,,NR,NR,NR
2026,Barkhan,5,,,,210249,,,,,9,17,18
2026,Chagai,5,,,,269192,,,,,NR,NR,NR
2026,Chaman,5,,,,466218,,,,,NR,NR,NR
2026,Dera Bugti,5,,,,355274,,,,,0,1,NR
2026,Duki,5,,,,205044,,,,,NR,NR,NR
2026,Gwadar,5,,,,305160,,,,,35,90,4
2026,Harnai,5,,,,127571,,,,,36,136,0
2026,Hub,5,,,,382885,,,,,25,112,1
2026,Jaffarabad,5,,,,594558,,,,,7,19,0
2026,Jhal Magsi,5,,,,203368,,,,,15,22,3
2026,Kachhi (Bolan),5,,,,,,,,,290,254,0
2026,Kalat,5,,,,271560,,,,,0,0,0
2026,Kech (Turbat),5,,,,1060931,,,,,3,73,1
2026,Kharan,5,,,,260352,,,,,3,105,6
2026,Khuzdar,5,,,,997214,,,,,2,20,NR
2026,Killa Abdullah,5,,,,361971,,,,,0,12,0
2026,Killa Saifullah,5,,,,380200,,,,,24,31,6
2026,Kohlu,5,,,,260220,,,,,4,9,1
2026,Lasbella,5,,,,680977,,,,,155,268,6
2026,Loralai,5,,,,272432,,,,,NR,NR,NR
2026,Mastung,5,,,,313271,,,,,3,112,7
2026,MusaKhel,5,,,,196756,,,,,92,74,10
2026,Naseerabad,5,,,,563315,,,,,116,215,13
2026,Nushki,5,,,,207834,,,,,NR,NR,NR
2026,Panjgur,5,,,,509781,,,,,NR,NR,NR
2026,Pishin,5,,,,835482,,,,,NR,NR,NR
2026,Quetta,5,,,,2595492,,,,,3,171,1
2026,Sherani,5,,,,191687,,,,,NR,NR,NR
2026,Sibi,5,,,,224148,,,,,87,155,10
2026,Sohbat pur,5,,,,240106,,,,,NR,NR,NR
2026,Surab,5,,,,279038,,,,,NR,NR,NR
