year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,malaria_cases,ad_cases,typhoid_cases,flood_inundation,mean_ndvi,stagnant_water,malaria_risk,ad_risk,typhoid_risk,malaria_risk_next_week,ad_risk_next_week,typhoid_risk_next_week,avg_rainfall_lag1,avg_rainfall_lag2,avg_temperature_lag1,avg_temperature_lag2,avg_humidity_lag1,avg_humidity_lag2,flood_inundation_lag1,flood_inundation_lag2,stagnant_water_lag1,stagnant_water_lag2,mean_ndvi_lag1,mean_ndvi_lag2,avg_rainfall_roll3,avg_rainfall_roll5,avg_temperature_roll3,avg_temperature_roll5,avg_humidity_roll3,avg_humidity_roll5,flood_inundation_roll3,flood_inundation_roll5,stagnant_water_roll3,stagnant_water_roll5,mean_ndvi_roll3,mean_ndvi_roll5
2025,Chitral Lower,19,0,15.6318,37.2094,336081,1500,1,6458,0.35,21,725,9,0.370680861,0.017127774,0.110700331,0.624849367,21.57218052,0.267792586,0.68435883,22.76236979,0.297547317,0,0.0857,15.6318,20.5973,37.2094,37.6504,0.33004808,0.365833218,0.11828622,0.2049759,0.018828801,0.028928412,0.028566667,0.17714,17.28696667,17.9292,37.3564,40.94772,0.35552072,0.365946115,0.14465415,0.169621953,0.021628329,0.019769303
2025,Chitral Lower,20,0,19.639,39.6119,336081,1500,1,6458,0.35,23,765,10,0.319400446,0.052113783,0.223702914,0.68435883,22.76236979,0.297547317,0.743868294,23.35746442,0.327302049,0,0,15.6318,15.6318,37.2094,37.2094,0.370680861,0.33004808,0.110700331,0.11828622,0.017127774,0.018828801,0,0.05428,16.96753333,18.39064,38.01023333,39.52966,0.340043129,0.341646673,0.150896488,0.174830991,0.029356786,0.027180504
2025,Chitral Lower,21,0,22.0038,37.4827,336081,1500,1,6458,0.35,25,785,11,0.15885837,0.015344495,0.104685722,0.743868294,23.35746442,0.327302049,0.743868294,23.00040764,0.386811513,0,0,19.639,15.6318,39.6119,37.2094,0.319400446,0.370680861,0.223702914,0.110700331,0.052113783,0.017127774,0,0.01714,19.09153333,18.70074,38.10133333,37.83276,0.282979892,0.308964195,0.146362989,0.152470218,0.028195351,0.026468653
2025,Chitral Lower,22,3.8,19.0654,54.7131,336081,1500,1,6458,0.35,25,773,13,0.263798137,0.065205442,0.105869619,0.743868294,23.00040764,0.386811513,0.565339903,24.4583895,0.119018927,0,0,22.0038,19.639,37.4827,39.6119,0.15885837,0.319400446,0.104685722,0.223702914,0.015344495,0.052113783,1.266666667,0.76,20.23606667,18.39436,43.9359,41.2453,0.247352318,0.288557179,0.144752752,0.132648961,0.04422124,0.033724059
2025,Chitral Lower,34,0.1143,23.6232,64.943,336081,1500,1,6458,0.35,37,1124,13,0.178235673,0.062192391,0.050512429,1.100925075,33.44431848,0.386811513,0.892641952,23.7145212,0.148773659,1.3714,0,26.2702,26.2476,68.1837,54.4787,0.083802661,0.239935256,0.048311938,0.160129202,0.05876386,0.035942619,0.495233333,0.55714,25.38033333,25.82866,62.53513333,60.71144,0.16732453,0.198588193,0.086317856,0.078609843,0.052299623,0.050024067
2025,Chitral Lower,36,0.0857,23.3449,60.9889,336081,1500,1,6458,0.35,30,797,5,0.194139502,0.054937432,0.034670376,0.892641952,23.7145212,0.148773659,0.595094635,23.23844549,0.297547317,0.1143,1.3714,23.6232,26.2702,64.943,68.1837,0.178235673,0.083802661,0.050512429,0.048311938,0.062192391,0.05876386,0.5238,0.31714,24.41276667,25.42836,64.7052,60.05424,0.152059279,0.193672311,0.044498247,0.070543273,0.058631228,0.054042704
2025,Chitral Lower,37,0.0429,23.8431,57.3782,336081,1500,1,6458,0.35,20,781,10,0.02398374,0.028205182,0.023577236,0.595094635,23.23844549,0.297547317,2.05307649,20.23321759,0.297547317,0.0857,0.1143,23.3449,23.6232,60.9889,64.943,0.194139502,0.178235673,0.034670376,0.050512429,0.054937432,0.062192391,0.080966667,0.32286,23.60373333,24.6658,61.10336667,61.1945,0.132119638,0.144019366,0.036253347,0.063440236,0.048445002,0.048008297
2025,Chitral Lower,38,0.4,21.4235,60.5885,336081,1500,1,6458,0.35,69,680,10,0.102046607,0.055538328,0,2.05307649,20.23321759,0.297547317,1.130679806,20.64978383,0.208283122,0.0429,0.0857,23.8431,23.3449,57.3782,60.9889,0.02398374,0.194139502,0.023577236,0.034670376,0.028205182,0.054937432,0.1762,0.40286,22.8705,23.70098,59.65186667,62.41646,0.106723283,0.116441637,0.019415871,0.031414396,0.046226981,0.051927439
2025,Chitral Lower,39,0.0143,20.9396,48.9268,336081,1500,1,6458,0.35,38,694,7,0.168184899,0.046727212,0.049267328,1.130679806,20.64978383,0.208283122,1.011660879,15.05589426,0.059509463,0.4,0.0429,21.4235,23.8431,60.5885,57.3782,0.102046607,0.02398374,0,0.023577236,0.055538328,0.028205182,0.1524,0.13144,22.06873333,22.63486,55.63116667,58.56508,0.098071748,0.133318084,0.024281521,0.031605474,0.043490241,0.049520109
2025,Chitral Lower,40,1.1714,18.0577,52.8413,336081,1500,1,6458,0.35,34,506,2,0.120983022,0.032999082,0.053241172,1.011660879,15.05589426,0.059509463,0.624849367,14.13349758,0.119018927,0.0143,0.4,20.9396,21.4235,48.9268,60.5885,0.168184899,0.102046607,0.049267328,0,0.046727212,0.055538328,0.528566667,0.34286,20.14026667,21.52176,54.11886667,56.14474,0.130404842,0.121867554,0.0341695,0.032151222,0.045088207,0.043681447
2025,Chitral Lower,41,0.8143,14.5797,58.9457,336081,1500,1,6458,0.35,21,475,4,0.166310248,0.045296587,0.054170977,0.624849367,14.13349758,0.119018927,0.416566244,13.86570499,0.059509463,1.1714,0.0143,18.0577,20.9396,52.8413,48.9268,0.120983022,0.168184899,0.053241172,0.049267328,0.032999082,0.046727212,0.666666667,0.48858,17.859,19.76872,53.57126667,55.7361,0.151826056,0.116301703,0.052226492,0.036051343,0.041674294,0.041753278
2025,Chitral Lower,42,0.3714,18.0666,34.3001,336081,1500,1,6458,0.35,14,466,2,0.321547669,0.034056223,0,0.416566244,13.86570499,0.059509463,0.535585171,16.75191397,0.267792586,0.8143,1.1714,14.5797,18.0577,58.9457,52.8413,0.166310248,0.120983022,0.054170977,0.053241172,0.045296587,0.032999082,0.7857,0.55428,16.90133333,18.61342,48.6957,51.12048,0.20294698,0.175814489,0.03580405,0.031335895,0.037450631,0.042923486
2025,Chitral Lower,43,0.4,14.7321,44.6428,336081,1500,1,6458,0.35,18,563,9,0.264739982,0.043974075,0.011076575,0.535585171,16.75191397,0.267792586,0.535585171,17.19823495,0.267792586,0.3714,0.8143,18.0666,14.5797,34.3001,58.9457,0.321547669,0.166310248,0,0.054170977,0.034056223,0.045296587,0.528566667,0.55428,15.7928,17.27514,45.96286667,47.93134,0.250865966,0.208353164,0.021749184,0.03355121,0.041108962,0.040610636
2024,Chitral Upper,18,0.7429,11.1205,55.5206,204308,2500,1,8392,0.2,3,78,1,0.052895577,0.004307284,0,0.146837128,3.817765335,0.048945709,0.146837128,3.817765335,0.048945709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Chitral Upper,19,1.4571,15.5577,43.7133,204308,2500,1,8392,0.2,3,78,1,0.317519427,-0.001753026,0,0.146837128,3.817765335,0.048945709,0.146837128,3.817765335,0,0.7429,0,11.1205,0,55.5206,0,0.052895577,0,0,0,0.004307284,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Chitral Upper,20,0.6143,17.3318,46.7022,204308,2500,1,8392,0.2,3,78,0,0.440897656,0.015057777,0.197657722,0.146837128,3.817765335,0,0.636294222,7.439747832,0.146837128,1.4571,0.7429,15.5577,11.1205,43.7133,55.5206,0.317519427,0.052895577,0,0,-0.001753026,0.004307284,0.9381,0,14.67,0,48.64536667,0,0.270437553,0,0.065885907,0,0.005870678,0
2024,Chitral Upper,21,0.1857,20.4533,45.9672,204308,2500,1,8392,0.2,13,152,3,0.32227076,0.018903749,0.21648959,0.636294222,7.439747832,0.146837128,0.636294222,6.216105096,0.146837128,0.6143,1.4571,17.3318,15.5577,46.7022,43.7133,0.440897656,0.317519427,0.197657722,0,0.015057777,-0.001753026,0.752366667,0,17.78093333,0,45.4609,0,0.360229281,0,0.138049104,0,0.010736167,0
