Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m,River_Status,Area_sq_km,Sanitation_Index,Malaria_cases,AD_cases,Typhoid_cases
2025,Ghotki,19,0.0286,33.3662,35.1698,1989892,72,1,6083,0.35,1140,1025,0
2025,Hyderabad,19,0,32.5265,50.5355,2659637,20,2,993,0.75,727,2605,9
2025,Jacobabad,19,0,33.8569,31.144,1216179,55,0,2686,0.35,803,671,37
2025,Jamshoro,19,0,32.4007,50.6276,1200463,33,2,11204,0.35,1849,1999,26
2025,Kamber,19,0,35.1455,27.8776,1621170,50,0,5599,0.2,3730,1999,22
2025,Central,19,0.0143,30.6175,65.7927,3591719,10,0,69,0.95,1,645,72
2025,East,19,0,30.0527,70.7207,3514347,10,0,165,0.95,35,375,0
2025,Keamari,19,0,29.7704,73.3275,2215961,2,0,559,0.2,9,486,4
2025,Korangi,19,0,30.0186,71.1688,2970331,8,0,95,0.2,73,355,1
2025,Malir,19,0.0286,30.7387,65.1171,2428732,20,0,2268,0.75,190,1251,11
2025,South,19,0.1286,30.3926,62.3797,2166395,4,0,122,0.95,4,67,0
2025,West,19,0.0143,30.2858,69.4781,4732945,15,0,929,0.75,255,832,24
2025,Kashmore,19,0.0286,33.2968,34.2935,1316520,60,2,2592,0.35,2171,632,13
2025,Khairpur,19,0,34.873,29.4556,2908676,53,2,15910,0.5,3894,3330,203
2025,Larkana,19,0,35.0943,29.0495,1842403,48,2,1906,0.5,4523,1812,2
2025,Matiari,19,0.0143,32.9618,46.406,930873,25,2,1417,0.2,2333,1894,8
2025,Mirpurkhas,19,0.0286,32.9655,46.3321,1820642,16,0,2925,0.5,1944,2987,11
2025,Naushero Feroze,19,0,34.8575,31.314,1948788,38,2,2945,0.2,1353,1177,43
2025,Sanghar,19,0.0714,31.8007,49.6561,2486760,16,1,10608,0.2,3959,2074,43
2025,Shaheed Benazirabad,19,0,34.3192,35.6964,1949997,30,2,4502,0.5,2126,1959,102
2025,Shikarpur,19,0.0143,34.4879,29.9339,1488188,52,1,2512,0.35,2411,1360,4
2025,Sujawal,19,0.1429,31.789,60.2089,945380,,,,,1069,2149,0
2025,Sukkur,19,0,34.4467,30.4776,1798882,65,2,5165,0.75,1759,1646,10
2025,Tando Allahyar,19,0.7,32.9982,47.3117,1011871,18,0,2343,0.2,1716,1838,12
2025,Tando Muhammad Khan,19,0.4571,32.555,52.5478,818443,14,2,1733,0.2,607,1123,0
2025,Tharparkar,19,0,31.9156,54.2764,1994728,56,0,19638,0.35,2269,1789,25
2025,Thatta,19,0.1286,31.6238,60.7085,1184747,10,2,17355,0.35,1098,1364,2
2025,Umerkot,19,0,32.8982,45.6505,1297177,12,0,5608,0.35,1335,1502,17
2025,Barkhan,19,1.7714,27.5822,38.0409,206726,1100,0,3514,0.2,57,82,25
2025,Chagai,19,0,31.9021,13.9314,273217,919,0,44748,0.2,2,35,0
2025,Dera Bugti,19,0.1714,30.4803,36.3169,378394,250,0,10160,0.2,69,92,0
2025,Gwadar,19,0,28.1187,86.2228,317947,12,0,12637,0.35,59,208,14
2025,Hub,19,0.0571,30.4588,63.8878,461810,,,,,97,225,4
2025,Jaffarabad,19,,,,621388,55,1,1643,0.2,641,574,4
2025,Jhal Magsi,19,,,,180130,60,0,3615,0.2,249,213,44
2025,Kachhi (Bolan),19,0,29.2247,29.0379,417079,,,,,181,151,18
2025,Kalat,19,0.2143,21.4595,29.0117,498077,2000,0,7654,0.2,27,29,18
2025,Kech (Turbat),19,,,,1098914,,,,,165,298,13
2025,Kharan,19,0,32.3378,19.337,188592,700,0,14958,0.2,52,204,1
2025,Khuzdar,19,0.4143,26.5422,32.7284,969559,1237,0,35380,0.2,163,223,79
2025,Killa Abdullah,19,0,27.3594,16.3828,915157,1500,0,3553,0.2,12,123,13
2025,Killa Saifullah,19,0.0571,23.8927,32.7862,413453,1500,0,6831,0.2,199,148,26
2025,Kohlu,19,1.4714,25.4008,43.6104,258710,1000,0,7610,0.2,66,49,15
2025,Lasbella,19,0.0286,29.3118,67.9017,697550,,,,,360,443,21
2025,Loralai,19,0.2286,24.0954,37.8063,479944,1400,0,3785,0.2,39,237,11
2025,Mastung,19,0.0143,22.9322,30.9888,321574,1700,0,3308,0.2,91,239,23
2025,MusaKhel,19,0.5857,23.2231,46.0549,201891,,,,,123,73,11
2025,Naseerabad,19,0,34.389,29.5815,592374,,,,,234,274,63
2025,Panjgur,19,0,29.3594,33.5024,382021,900,0,16891,0.2,70,103,0
2025,Pishin,19,0,23.9754,27.3435,889769,1550,0,6218,0.2,41,485,12
2025,Quetta,19,0.1,23.4153,30.6528,2751515,1680,0,3447,0.75,22,731,31
2025,Sibi,19,0.0143,33.1254,29.072,163205,130,0,7121,0.2,260,124,63
2025,Sohbat pur,19,0,34.2461,30.2601,241785,,,,,383,290,21
2025,Usta Muhammad,19,0,34.0523,29.6655,314321,,,,,172,974,14
2025,Washuk,19,0.6286,25.0289,32.857,212771,700,0,33093,0.2,106,189,34
2025,Zhob,19,0.3571,24.106,41.9721,374767,1400,0,20297,0.2,41,208,5
2025,Abbottabad,19,1.4286,22.8929,47.1838,1611498,1256,0,1967,0.75,0,990,55
2025,Bajaur,19,0.8429,21.6241,44.6271,1321356,900,0,1290,0.2,212,791,4
2025,Bannu,19,0.3,30.8806,28.4342,1410816,312,1,1227,0.2,1495,998,79
2025,Battagram,19,0.4714,21.0433,53.7397,575449,1036,0,1301,0.2,32,224,2
2025,Buner,19,0.5571,23.6375,54.8507,1084406,700,0,1865,0.35,323,395,3
2025,Charsadda,19,0.7143,26.6701,54.1008,1953624,300,2,996,0.2,345,3905,144
2025,Chitral Lower,19,0,15.6318,37.2094,336081,1500,1,6458,0.35,21,725,9
2025,Chitral Upper,19,0,15.6318,37.2094,204308,2500,1,8392,0.2,2,129,20
2025,D.I. Khan,19,1.6571,30.6308,37.2415,2050338,,,,,169,2207,2
2025,Dir Lower,19,1.1714,28.3494,46.3426,1734809,800,1,1583,0.35,179,1885,31
2025,Dir Upper,19,0.2,18.7708,49.1481,1143644,1200,1,3699,0.35,18,1270,9
2025,Hangu,19,3.4429,26.03,37.9034,627433,900,0,1097,0.2,85,300,1
2025,Haripur,19,2.0571,25.6432,49.3054,1212553,605,2,1725,0.65,0,1436,11
2025,Karak,19,1.1857,29.1703,32.4598,853502,500,0,3372,0.2,95,451,4
2025,Khyber,19,0.4,26.9275,34.5652,1193210,1000,0,2576,0.2,125,710,76
2025,Kohat,19,1.6,28.562,37.4537,1200463,500,0,2545,0.65,38,1036,21
2025,Kohistan Lower,19,0,0.7847,55.3749,244203,1500,2,1200,0.2,0,111,0
2025,Kohistan Upper,19,0,0.7847,55.3749,369931,2500,2,4000,0.2,11,421,1
2025,Kolai Palas,19,0,0.7847,55.3749,331246,,,,,0,57,1
2025,L & C Kurram,19,1.0714,15.1125,48.5549,604463,,,,,0,5,0
2025,Lakki Marwat,19,0.3857,28.7388,39.2883,1059019,250,1,3164,0.2,178,858,29
2025,Malakand,19,0.7857,26.898,40.5123,870427,700,1,952,0.2,17,1130,0
2025,Mansehra,19,1.9857,21.2377,54.6695,1881089,1000,0,4579,0.2,3,1398,21
2025,Mardan,19,0.8857,25.7874,58.0313,2868781,300,0,1632,0.65,94,1327,14
2025,Mohmand,19,0.7857,26.898,40.5123,563359,600,0,2296,0.2,163,257,7
2025,North Waziristan,19,3.4286,12.3265,50.6034,656447,1000,1,4707,0.2,21,84,2
2025,Nowshera,19,1.1714,28.4079,46.3565,1835149,280,2,1748,0.65,41,3260,26
2025,Orakzai,19,1.8571,24.562,39.2642,307067,1200,0,1538,0.2,14,128,3
2025,Peshawar,19,1.3857,29.8085,37.0802,5160904,330,0,1257,0.75,41,6460,145
2025,SD Tank,19,0.6429,30.6005,30.4752,604463,,,,,18,30,0
2025,Shangla,19,2.5,16.9214,49.5644,915157,2000,2,1586,0.35,219,623,23
2025,South Waziristan (Lower),19,0.5,26.7732,30.2149,820861,,,,,48,7,14
2025,SWU,19,0.5,26.7732,30.2149,604463,,,,,4,28,0
2025,Swabi,19,1.4857,25.5613,57.315,1963296,340,2,1543,0.65,57,2013,47
2025,Swat,19,0.8857,22.3141,56.5279,2791410,980,1,5337,0.35,18,3464,27
2025,Tank,19,0.6429,30.6005,30.4752,472690,250,0,1679,0.2,62,542,7
2025,Tor Ghar,19,1.8,25.8537,51.1814,206726,,,,,39,75,5
2025,Upper Kurram,19,1.0714,15.1125,48.5549,748325,,,,,14,208,7
2025,Badin,20,0,32.7186,59.6704,2182111,9,1,6726,0.35,3187,3191,75
2025,Dadu,20,0,37.1837,33.7464,1873835,40,2,19070,0.35,3107,1895,185
2025,Ghotki,20,0,37.099,27.7461,1989892,72,1,6083,0.35,1240,1125,0
2025,Hyderabad,20,0,32.597,60.231,2659637,20,2,993,0.75,757,2705,9
2025,Jacobabad,20,0,37.7274,25.1143,1216179,55,0,2686,0.35,873,717,47
2025,Jamshoro,20,0.0857,32.3706,61.3005,1200463,33,2,11204,0.35,1949,2099,29
2025,Kamber,20,0,38.4476,25.4407,1621170,50,0,5599,0.2,3930,2099,27
2025,Central,20,0,30.5663,71.5905,3591719,10,0,69,0.95,2,685,78
2025,East,20,0,30.0265,75.8765,3514347,10,0,165,0.95,39,405,0
2025,Keamari,20,0.0143,30.0749,76.0464,2215961,2,0,559,0.2,10,538,5
2025,Korangi,20,0,30.1237,75.4775,2970331,8,0,95,0.2,79,385,1
2025,Malir,20,0,30.5196,72.5867,2428732,20,0,2268,0.75,205,1301,12
2025,South,20,0.0714,30.0967,72.9453,2166395,4,0,122,0.95,4,70,0
2025,West,20,0,30.4644,73.2186,4732945,15,0,929,0.75,285,899,28
2025,Kashmore,20,0,36.9881,27.4594,1316520,60,2,2592,0.35,2271,663,15
2025,Khairpur,20,0,37.665,28.6931,2908676,53,2,15910,0.5,3994,3430,233
2025,Larkana,20,0,38.2854,26.6765,1842403,48,2,1906,0.5,4623,1912,2
2025,Matiari,20,0,33.2755,56.2284,930873,25,2,1417,0.2,2433,1994,9
2025,Mirpurkhas,20,0,34.3402,50.7684,1820642,16,0,2925,0.5,2044,3099,14
2025,Naushero Feroze,20,0.0143,36.8944,34.1796,1948788,38,2,2945,0.2,1453,1277,52
2025,Sanghar,20,0,33.7173,51.5343,2486760,16,1,10608,0.2,4059,2174,54
2025,Shaheed Benazirabad,20,0,35.5507,41.3746,1949997,30,2,4502,0.5,2226,2059,112
2025,Shikarpur,20,0,38.1019,25.5605,1488188,52,1,2512,0.35,2511,1460,5
2025,Sujawal,20,0,31.6256,66.3686,945380,,,,,1169,2249,0
2025,Sukkur,20,0,37.5339,27.8814,1798882,65,2,5165,0.75,1859,1746,12
2025,Tando Allahyar,20,0.2286,33.8066,53.9754,1011871,18,0,2343,0.2,1816,1938,15
2025,Tando Muhammad Khan,20,0.1143,33.1731,57.7109,818443,14,2,1733,0.2,657,1173,0
2025,Tharparkar,20,0,33.2754,55.5413,1994728,56,0,19638,0.35,2369,1889,29
2025,Thatta,20,0,31.4935,66.6696,1184747,10,2,17355,0.35,1198,1464,2
2025,Umerkot,20,0,34.3875,48.2376,1297177,12,0,5608,0.35,1353,1572,19
2025,Barkhan,20,0,32.2074,20.2928,206726,1100,0,3514,0.2,63,88,28
2025,Chagai,20,0,34.2179,9.5025,273217,919,0,44748,0.2,2,37,0
2025,Dera Bugti,20,0,33.7627,26.1601,378394,250,0,10160,0.2,75,99,0
2025,Gwadar,20,0,29.6164,81.2886,317947,12,0,12637,0.35,64,228,15
2025,Hub,20,0,30.1445,72.8542,461810,,,,,107,245,4
2025,Jaffarabad,20,,,,621388,55,1,1643,0.2,695,624,4
2025,Jhal Magsi,20,,,,180130,60,0,3615,0.2,274,223,54
2025,Kachhi (Bolan),20,0,33.2021,13.8738,417079,,,,,199,161,18
2025,Kalat,20,0,24.2988,13.3172,498077,2000,0,7654,0.2,29,32,19
2025,Kech (Turbat),20,,,,1098914,,,,,185,298,14
2025,Kharan,20,0,34.6324,10.678,188592,700,0,14958,0.2,58,224,1
2025,Khuzdar,20,0,30.4782,18.7297,969559,1237,0,35380,0.2,188,243,89
2025,Killa Abdullah,20,0,29.5999,7.6299,915157,1500,0,3553,0.2,14,133,14
2025,Killa Saifullah,20,0,27.7103,10.7178,413453,1500,0,6831,0.2,209,158,26
2025,Kohlu,20,0,30.9026,20.5032,258710,1000,0,7610,0.2,73,54,16
2025,Lasbella,20,0.0571,29.4493,74.3996,697550,,,,,390,463,23
2025,Loralai,20,0,28.6344,13.2526,479944,1400,0,3785,0.2,43,257,12
2025,Mastung,20,0,26.4789,11.0409,321574,1700,0,3308,0.2,99,259,25
2025,MusaKhel,20,0,28.5564,20.5911,201891,,,,,133,79,12
2025,Naseerabad,20,0,38.0254,25.0508,592374,,,,,254,289,65
2025,Panjgur,20,0,32.4734,20.732,382021,900,0,16891,0.2,77,112,0
2025,Pishin,20,0,26.6706,9.2115,889769,1550,0,6218,0.2,48,535,15
2025,Quetta,20,0,26.6087,10.0372,2751515,1680,0,3447,0.75,24,799,35
2025,Sibi,20,0,35.9325,18.6791,163205,130,0,7121,0.2,295,134,65
2025,Sohbat pur,20,0,38.0556,25.12,241785,,,,,393,299,23
2025,Usta Muhammad,20,0,37.4451,24.2291,314321,,,,,185,999,15
2025,Washuk,20,0,28.4685,18.4589,212771,700,0,33093,0.2,116,199,37
2025,Zhob,20,0,28.2593,23.1295,374767,1400,0,20297,0.2,45,208,6
2025,Abbottabad,20,0.2857,24.9408,37.9431,1611498,1256,0,1967,0.75,0,1090,60
2025,Bajaur,20,0.0714,24.1988,31.3929,1321356,900,0,1290,0.2,234,891,5
2025,Bannu,20,0,32.488,27.9645,1410816,312,1,1227,0.2,1595,1107,89
2025,Battagram,20,0.7286,23.5019,45.3293,575449,1036,0,1301,0.2,35,244,2
2025,Buner,20,0.2286,26.5181,42.6843,1084406,700,0,1865,0.35,350,425,3
2025,Charsadda,20,0.0571,29.9525,40.5671,1953624,300,2,996,0.2,380,4300,144
2025,Chitral Lower,20,0,19.639,39.6119,336081,1500,1,6458,0.35,23,765,10
2025,Chitral Upper,20,0,19.639,39.6119,204308,2500,1,8392,0.2,3,140,22
2025,D.I. Khan,20,0,32.6895,39.3653,2050338,,,,,184,2407,2
2025,Dir Lower,20,0.2571,31.2101,34.2478,1734809,800,1,1583,0.35,194,2004,33
2025,Dir Upper,20,0.1,20.4303,42.4942,1143644,1200,1,3699,0.35,20,1370,10
2025,Hangu,20,0.1286,29.2806,26.5978,627433,900,0,1097,0.2,95,330,1
2025,Haripur,20,0.1571,28.5774,38.0861,1212553,605,2,1725,0.65,0,1536,12
2025,Karak,20,0,31.942,25.8253,853502,500,0,3372,0.2,105,491,4
2025,Khyber,20,0,29.4999,26.0708,1193210,1000,0,2576,0.2,135,780,85
2025,Kohat,20,0,32.0608,25.2284,1200463,500,0,2545,0.65,42,1142,23
2025,Kohistan Lower,20,0.0143,0.9032,61.5597,244203,1500,2,1200,0.2,0,121,0
2025,Kohistan Upper,20,0.0143,0.9032,61.5597,369931,2500,2,4000,0.2,12,461,1
2025,Kolai Palas,20,0.0143,0.9032,61.5597,331246,,,,,0,62,1
2025,L & C Kurram,20,0.5143,18.6398,33.6837,604463,,,,,0,5,0
2025,Lakki Marwat,20,0,31.062,36.6016,1059019,250,1,3164,0.2,198,958,32
2025,Malakand,20,0.0571,29.8174,27.7425,870427,700,1,952,0.2,18,1230,0
2025,Mansehra,20,0.4286,23.9127,42.1421,1881089,1000,0,4579,0.2,3,1498,24
2025,Mardan,20,0.1429,28.6216,44.2443,2868781,300,0,1632,0.65,113,1447,15
2025,Mohmand,20,0.0571,29.8174,27.7425,563359,600,0,2296,0.2,178,287,8
2025,North Waziristan,20,1.4286,14.1687,41.7524,656447,1000,1,4707,0.2,23,94,2
2025,Nowshera,20,0.2571,31.2686,34.263,1835149,280,2,1748,0.65,45,3600,29
2025,Orakzai,20,0.0571,28.2891,26.2066,307067,1200,0,1538,0.2,16,138,3
2025,Peshawar,20,0.1714,32.1555,31.7572,5160904,330,0,1257,0.75,45,7060,165
2025,SD Tank,20,0,32.7499,30.0167,604463,,,,,19,32,0
2025,Shangla,20,0.8286,18.9786,39.7502,915157,2000,2,1586,0.35,240,683,27
2025,South Waziristan (Lower),20,0,29.4081,25.2905,820861,,,,,55,7,15
2025,SWU,20,0,29.4081,25.2905,604463,,,,,5,32,0
2025,Swabi,20,0.1,27.5985,48.6079,1963296,340,2,1543,0.65,63,2213,50
2025,Swat,20,0.1286,24.6319,44.2314,2791410,980,1,5337,0.35,21,3764,32
2025,Tank,20,0,32.7499,30.0167,472690,250,0,1679,0.2,68,582,8
2025,Tor Ghar,20,0.0571,28.7975,41.4421,206726,,,,,42,85,6
2025,Upper Kurram,20,0.5143,18.6398,33.6837,748325,,,,,17,228,8
2025,Badin,21,0,33.5407,57.4616,2182111,9,1,6726,0.35,2997,3448,85
2025,Dadu,21,0,37.9185,37.923,1873835,40,2,19070,0.35,3097,1999,199
2025,Ghotki,21,0,38.0829,29.5763,1989892,72,1,6083,0.35,1140,1251,0
2025,Hyderabad,21,0,33.2786,58.7259,2659637,20,2,993,0.75,827,2805,9
2025,Jacobabad,21,0,38.9985,26.5117,1216179,55,0,2686,0.35,793,689,50
2025,Jamshoro,21,0,33.3111,58.6868,1200463,33,2,11204,0.35,2049,2199,32
2025,Kamber,21,0,39.4449,27.9157,1621170,50,0,5599,0.2,4030,2199,34
2025,Central,21,0.0857,30.7886,69.7116,3591719,10,0,69,0.95,2,785,87
2025,East,21,0,30.5349,71.9981,3514347,10,0,165,0.95,42,437,0
2025,Keamari,21,0.0286,30.3347,73.1905,2215961,2,0,559,0.2,12,565,6
2025,Korangi,21,0,30.5204,72.1555,2970331,8,0,95,0.2,86,455,1
2025,Malir,21,0,31.0366,69.0598,2428732,20,0,2268,0.75,225,1451,14
2025,South,21,0,30.2012,72.4451,2166395,4,0,122,0.95,4,77,0
2025,West,21,0.0143,30.5269,71.9584,4732945,15,0,929,0.75,315,999,36
2025,Kashmore,21,0,38.1438,28.2633,1316520,60,2,2592,0.35,2371,793,16
2025,Khairpur,21,0,38.5423,30.745,2908676,53,2,15910,0.5,4094,3530,253
2025,Larkana,21,0,39.3896,28.3479,1842403,48,2,1906,0.5,4723,2012,2
2025,Matiari,21,0,34.2567,53.9164,930873,25,2,1417,0.2,2533,2194,11
2025,Mirpurkhas,21,0,34.7875,51.5572,1820642,16,0,2925,0.5,2144,3199,16
2025,Naushero Feroze,21,0,37.9245,35.9967,1948788,38,2,2945,0.2,1553,1377,62
2025,Sanghar,21,0,35.2665,47.6824,2486760,16,1,10608,0.2,4159,2274,64
2025,Shaheed Benazirabad,21,0,36.5382,42.634,1949997,30,2,4502,0.5,2326,2159,129
2025,Shikarpur,21,0,39.1037,27.5433,1488188,52,1,2512,0.35,2611,1560,6
