Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m_y,River_Status_y,Area_sq_km_y,Sanitation_Index_y,Malaria_cases,AD_cases,Typhoid_cases,Flood_Inundation,Mean_NDVI,Stagnant_Water
2024,Mardan,18,0.9429,20.3928,66.4978,2868781.0,300.0,0.0,1632.0,0.65,5,477,8,,0.2815625736080661,
2024,Mohmand,18,2.8571,19.3385,58.3993,563359.0,600.0,0.0,2296.0,0.2,141,199,2,0.3878413704877911,0.2137171297109521,
2024,Nowshera,18,0.5429,21.6618,57.2083,1835149.0,280.0,2.0,1748.0,0.65,60,2007,13,,0.2236399732848618,
2024,Orakzai,18,3.7714,16.7284,62.5117,307067.0,1200.0,0.0,1538.0,0.2,25,45,1,0.1473831925333635,0.3221357530523023,
2024,Peshawar,18,1.0429,20.6427,61.2249,5160904.0,330.0,0.0,1257.0,0.75,40,3990,30,,0.2367895065045369,
2024,SD Tank,18,1.4429,22.7371,55.3965,604463.0,,,,,35,18,0,,,
2024,Shangla,18,4.1571,11.4723,57.3658,915157.0,2000.0,2.0,1586.0,0.35,318,307,38,,0.3058817500932242,
2024,SWA,18,,,,0.0,,,,,77,62,0,,,
2024,Swabi,18,0.9429,20.2131,66.7033,1963296.0,340.0,2.0,1543.0,0.65,39,1487,58,,0.2690125116436687,
2024,Swat,18,1.6714,17.0662,64.9418,2791410.0,980.0,1.0,5337.0,0.35,14,1811,17,,0.1474868121835401,
2024,Tank,18,1.4429,22.7371,55.3965,472690.0,250.0,0.0,1679.0,0.2,37,185,0,0.5826150648912106,0.139772456226182,
2024,Tor Ghar,18,4.7714,20.0987,66.1031,206726.0,,,,,32,62,2,,,
2024,Upper Kurram,18,3.3571,8.1137,73.7402,748325.0,,,,,23,104,3,,,
2024,Badin,19,0.0,33.2496,53.3911,2182111.0,9.0,1.0,6726.0,0.35,4084,3485,56,0.8449063899137825,0.1173687020843142,0.7721288838847774
2024,Dadu,19,0.0,36.7298,27.1805,1873835.0,40.0,2.0,19070.0,0.35,4248,4015,95,0.4728056130276092,0.0820911456304582,0.4531547094924436
2024,Ghotki,19,0.0,36.5606,20.7875,1989892.0,72.0,1.0,6083.0,0.35,1267,1356,0,0.882883090733106,0.1030235012942415,0.7645688064037378
2024,Hyderabad,19,0.0,34.3717,43.9455,2659637.0,20.0,2.0,993.0,0.75,300,1426,13,0.5072123344403985,0.1682843775506251,0.4318829823834991
2024,Jacobabad,19,0.0,36.7072,17.7343,1216179.0,55.0,0.0,2686.0,0.35,909,1038,40,0.7971398995839615,0.1066918225202299,0.7387520211171522
2024,Jamshoro,19,0.0,34.248,44.1431,1200463.0,33.0,2.0,11204.0,0.35,2122,2513,36,,,
2024,Kamber,19,0.0,37.0866,21.1976,1621170.0,50.0,0.0,5599.0,0.2,3734,1877,32,,,
2024,Central,19,0.0,30.0205,71.0175,3591719.0,10.0,0.0,69.0,0.95,97,1264,185,,0.0695481069453427,
2024,East,19,0.0,29.7486,73.6659,3514347.0,10.0,0.0,165.0,0.95,66,581,4,,0.1009338073129949,
2024,Keamari,19,0.0,29.6147,74.5413,2215961.0,2.0,0.0,559.0,0.2,1,207,2,0.5675949443638125,0.0962296755640002,0.5263213594581522
2024,Korangi,19,0.0,29.6826,74.2108,2970331.0,8.0,0.0,95.0,0.2,97,239,1,,0.1009338073129949,
