Year,District,Latitude,Longitude,Avg_Rainfall,Avg_Temperature,Avg_Humidity,Population_Density,People_Displaced,Fatalities,Cholera_Cases,Malaria_Cases,Dengue_Cases,Month_Index,Flood_Duration_Days,Flood_Marker,Waterbody_Proximity,Flood_Severity_Index
2022,East Karachi,24.8381531,67.067704,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,7,30,1,5000,0.1
2022,East Karachi,24.8381531,67.067704,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,8,30,1,5000,0.1
2022,East Karachi,24.8381531,67.067704,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,9,30,1,5000,0.1
2022,East Karachi,24.8381531,67.067704,4.839411764705881,28.234967320261443,80.91980392156862,,,,,,,10,30,1,5000,0.1
2022,Ghotki,27.9940699,69.3134173,7.449346405228757,30.733529411764703,65.58777777777775,,,,,,,6,30,1,5000,0.15
2022,Ghotki,27.9940699,69.3134173,7.449346405228757,30.733529411764703,65.58777777777775,,,,,,,7,30,1,5000,0.15
2022,Ghotki,27.9940699,69.3134173,7.449346405228757,30.733529411764703,65.58777777777775,,,,,,,8,30,1,5000,0.15
2022,Ghotki,27.9940699,69.3134173,7.449346405228757,30.733529411764703,65.58777777777775,,,,,,,9,30,1,5000,0.15
2022,Ghotki,27.9940699,69.3134173,7.449346405228757,30.733529411764703,65.58777777777775,,,,,,,10,30,1,5000,0.15
2022,Gujranwala,32.1525312,74.1933745,5.461307189542479,29.64908496732024,65.06555555555559,,,,,,,6,30,1,5000,0.11
2022,Gujranwala,32.1525312,74.1933745,5.461307189542479,29.64908496732024,65.06555555555559,,,,,,,7,30,1,5000,0.11
2022,Gujranwala,32.1525312,74.1933745,5.461307189542479,29.64908496732024,65.06555555555559,,,,,,,8,30,1,5000,0.11
2022,Gujranwala,32.1525312,74.1933745,5.461307189542479,29.64908496732024,65.06555555555559,,,,,,,9,30,1,5000,0.11
2022,Gujranwala,32.1525312,74.1933745,5.461307189542479,29.64908496732024,65.06555555555559,,,,,,,10,30,1,5000,0.11
2022,Hafizabad,32.0747607,73.6917596,4.726339869281046,30.03535947712418,62.729281045751634,,,,,,,6,30,1,5000,0.09
2022,Hafizabad,32.0747607,73.6917596,4.726339869281046,30.03535947712418,62.729281045751634,,,,,,,7,30,1,5000,0.09
2022,Hafizabad,32.0747607,73.6917596,4.726339869281046,30.03535947712418,62.729281045751634,,,,,,,8,30,1,5000,0.09
2022,Hafizabad,32.0747607,73.6917596,4.726339869281046,30.03535947712418,62.729281045751634,,,,,,,9,30,1,5000,0.09
2022,Hafizabad,32.0747607,73.6917596,4.726339869281046,30.03535947712418,62.729281045751634,,,,,,,10,30,1,5000,0.09
2022,Hangu,33.527996,71.0575407,3.529673202614379,26.91052287581699,60.105490196078414,,,,,,,6,30,1,5000,0.07
2022,Hangu,33.527996,71.0575407,3.529673202614379,26.91052287581699,60.105490196078414,,,,,,,7,30,1,5000,0.07
2022,Hangu,33.527996,71.0575407,3.529673202614379,26.91052287581699,60.105490196078414,,,,,,,8,30,1,5000,0.07
2022,Hangu,33.527996,71.0575407,3.529673202614379,26.91052287581699,60.105490196078414,,,,,,,9,30,1,5000,0.07
2022,Hangu,33.527996,71.0575407,3.529673202614379,26.91052287581699,60.105490196078414,,,,,,,10,30,1,5000,0.07
2022,Hyderabad,25.4075358,68.3613456,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,6,30,1,5000,0.1
2022,Hyderabad,25.4075358,68.3613456,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,7,30,1,5000,0.1
2022,Hyderabad,25.4075358,68.3613456,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,8,30,1,5000,0.1
2022,Hyderabad,25.4075358,68.3613456,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,9,30,1,5000,0.1
2022,Hyderabad,25.4075358,68.3613456,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,10,30,1,5000,0.1
2022,Jacobabad,28.2813094,68.4364361,12.041699346405228,31.014379084967324,63.55235294117649,,,,,,,6,30,1,5000,0.24
2022,Jacobabad,28.2813094,68.4364361,12.041699346405228,31.014379084967324,63.55235294117649,,,,,,,7,30,1,5000,0.24
2022,Jacobabad,28.2813094,68.4364361,12.041699346405228,31.014379084967324,63.55235294117649,,,,,,,8,30,1,5000,0.24
2022,Jacobabad,28.2813094,68.4364361,12.041699346405228,31.014379084967324,63.55235294117649,,,,,,,9,30,1,5000,0.24
2022,Jacobabad,28.2813094,68.4364361,12.041699346405228,31.014379084967324,63.55235294117649,,,,,,,10,30,1,5000,0.24
2022,Jamshoro,25.4688232,68.2650814,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,6,30,1,5000,0.1
2022,Jamshoro,25.4688232,68.2650814,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,7,30,1,5000,0.1
2022,Jamshoro,25.4688232,68.2650814,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,8,30,1,5000,0.1
2022,Jamshoro,25.4688232,68.2650814,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,9,30,1,5000,0.1
2022,Jamshoro,25.4688232,68.2650814,4.917581699346405,29.24660130718955,72.15509803921572,,,,,,,10,30,1,5000,0.1
2022,Jhal Magsi,28.2818084,67.4522969,9.642614379084966,30.04712418300654,58.229215686274486,,,,,,,6,30,1,5000,0.19
2022,Jhal Magsi,28.2818084,67.4522969,9.642614379084966,30.04712418300654,58.229215686274486,,,,,,,7,30,1,5000,0.19
2022,Jhal Magsi,28.2818084,67.4522969,9.642614379084966,30.04712418300654,58.229215686274486,,,,,,,8,30,1,5000,0.19
2022,Jhal Magsi,28.2818084,67.4522969,9.642614379084966,30.04712418300654,58.229215686274486,,,,,,,9,30,1,5000,0.19
2022,Jhal Magsi,28.2818084,67.4522969,9.642614379084966,30.04712418300654,58.229215686274486,,,,,,,10,30,1,5000,0.19
2022,Jhang,31.2728805,72.3103071,3.621830065359476,31.16718954248368,56.60241830065361,,,,,,,6,30,1,5000,0.07
2022,Jhang,31.2728805,72.3103071,3.621830065359476,31.16718954248368,56.60241830065361,,,,,,,7,30,1,5000,0.07
2022,Jhang,31.2728805,72.3103071,3.621830065359476,31.16718954248368,56.60241830065361,,,,,,,8,30,1,5000,0.07
2022,Jhang,31.2728805,72.3103071,3.621830065359476,31.16718954248368,56.60241830065361,,,,,,,9,30,1,5000,0.07
