year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,flood_inundation,mean_ndvi,stagnant_water,malaria_risk,ad_risk,typhoid_risk,malaria_risk_next_week,ad_risk_next_week,typhoid_risk_next_week,avg_rainfall_lag1,avg_rainfall_lag2,avg_temperature_lag1,avg_temperature_lag2,avg_humidity_lag1,avg_humidity_lag2,flood_inundation_lag1,flood_inundation_lag2,stagnant_water_lag1,stagnant_water_lag2,mean_ndvi_lag1,mean_ndvi_lag2,malaria_risk_lag1,malaria_risk_lag2,ad_risk_lag1,ad_risk_lag2,typhoid_risk_lag1,typhoid_risk_lag2,avg_rainfall_roll3,avg_rainfall_roll5,avg_temperature_roll3,avg_temperature_roll5,avg_humidity_roll3,avg_humidity_roll5,flood_inundation_roll3,flood_inundation_roll5,stagnant_water_roll3,stagnant_water_roll5,mean_ndvi_roll3,mean_ndvi_roll5,malaria_risk_roll3,malaria_risk_roll5,ad_risk_roll3,ad_risk_roll5,typhoid_risk_roll3,typhoid_risk_roll5
2024,Abbottabad,39,3.6143,23.2851,74.9441,1419072,1256,0,1967,0.75,0.002852214,0,0.00510919,0.014093717584449555,4.538177062192757,0.077515447,0.16912461101339465,3.8193974653858294,0.035234294,0,3.0154,24.2828,22.9028,61.5044,78.0351,0.1306644026389285,0.08821865,0.038097687,0,0.4582010744147312,0.4806772942007528,0.18321832859784423,0.15503089342894513,4.911660578,4.390193027556037,0.11979659946782123,0.2607337753123168,2.2098999999999998,5.009099999999999,23.490233333333332,23.29354,71.49453333333334,76.13296,0.073911756,0.055530020127785705,0.014402292333333332,0.008641375,0.31295945620516136,0.1877756737230968,0.11744764653707963,0.16630586749650478,4.613343555976488,5.261184774275019,0.15268194049820352,0.21140576376674333
2024,Abbottabad,40,0.1625,22.4983,57.2492,1419072,1256,0,1967,0.75,0.1198603078582487,0.4185635539296424,0.004638805,0.16912461101339465,3.8193974653858294,0.035234294,0.007046859,3.424773373021242,0.070468588,3.6143,0,23.2851,24.2828,74.9441,61.5044,0.002852214,0.1306644026389285,0.00510919,0.038097687,0,0.4582010744147312,0.014093717584449555,0.18321832859784423,4.538177062192757,4.911660578,0.077515447,0.11979659946782123,1.2589333333333335,2.51272,23.3554,23.087139999999998,64.56590000000001,71.34706,0.084458975,0.079502082,0.015948560666666667,0.009569136,0.2922548761147912,0.2714883845090253,0.1221455523985628,0.1395278040860506,4.4230783685864195,4.581867586704551,0.077515447,0.16066838046272494
2024,Abbottabad,41,1.1143,19.7137,56.4356,1419072,1256,0,1967,0.75,0.00478442,0.3986617206176372,0.0050876,0.007046859,3.424773373021242,0.070468588,0.014093717584449555,3.1640395977089253,0.18321832859784423,0.1625,3.6143,22.4983,23.2851,57.2492,74.9441,0.1198603078582487,0.002852214,0.004638805,0.00510919,0.4185635539296424,0,0.16912461101339465,0.014093717584449555,3.8193974653858294,4.538177062192757,0.035234294,0.077515447,1.6303666666666665,1.5813000000000001,21.83236666666667,22.53654,62.87630000000001,65.63368,0.042498981,0.069275999,0.004945198,0.010586656,0.2724084248490932,0.3512207286325527,0.063421729,0.10570288188337167,3.9274493001999438,4.216840301267307,0.061072776,0.11274974067559644
2024,Abbottabad,42,0,20.545,49.9082,1419072,1256,0,1967,0.75,0,0.3696769628412227,0,0.014093717584449555,3.1640395977089253,0.18321832859784423,0.021140576376674332,3.079477292202228,0.16207775222116988,1.1143,0.1625,19.7137,22.4983,56.4356,57.2492,0.00478442,0.1198603078582487,0.0050876,0.004638805,0.3986617206176372,0.4185635539296424,0.007046859,0.16912461101339465,3.424773373021242,3.8193974653858294,0.070468588,0.035234294,0.42560000000000003,0.97822,20.919,22.06498,54.531000000000006,60.0083,0.041548243,0.051632269,0.003242135,0.010586656,0.39563407912950077,0.32902066236064675,0.063421729,0.077515447,3.469403478705333,3.971609615297885,0.09630707,0.097246651
2024,Abbottabad,43,0.0143,19.9301,54.2137,1419072,1256,0,1967,0.75,0.1686313318365046,0.333174381,0,0.021140576376674332,3.079477292202228,0.16207775222116988,0.021140576376674332,2.536869165,0.14093717584449555,0,1.1143,20.545,19.7137,49.9082,56.4356,0,0.00478442,0,0.0050876,0.3696769628412227,0.3986617206176372,0.014093717584449555,0.007046859,3.1640395977089253,3.424773373021242,0.18321832859784423,0.070468588,0.37620000000000003,0.9810800000000001,20.062933333333334,21.19444,53.51916666666667,58.550160000000005,0.057805250612168214,0.059225655,0.001695867,0.002967119,0.36717102148628666,0.30401532367770046,0.014093717584449555,0.045099896,3.2227634209774654,3.6051729581021967,0.13858822291375397,0.10570288188337167
2024,Abbottabad,44,0.0143,19.3384,60.4715,1419072,1256,0,1967,0.75,0.019508803,0.3447337222611743,0.020385765,0.021140576376674332,2.536869165,0.14093717584449555,0,0,0,0.0143,0,19.9301,20.545,54.2137,49.9082,0.1686313318365046,0,0,0,0.333174381,0.3696769628412227,0.021140576376674332,0.014093717584449555,3.079477292202228,3.1640395977089253,0.16207775222116988,0.18321832859784423,0.009533333,0.26108000000000003,19.937833333333334,20.4051,54.864466666666665,55.655640000000005,0.062713378,0.062556973,0.006795255,0.006022434,0.3491950220341324,0.3729620681299353,0.018791623,0.046509268028683534,2.926795351704025,3.204911378703829,0.1620777522211699,0.11838722770937626
2025,Abbottabad,18,1.4286,22.8929,47.1838,1611498,1256,0,1967,0.75,0,0,0,0,0,0,0,6.143352334287725,0.3412973519048736,0.0143,0.0143,19.3384,19.9301,60.4715,54.2137,0.019508803,0.1686313318365046,0.020385765,0,0.3447337222611743,0.333174381,0.021140576376674332,0.021140576376674332,2.536869165,3.079477292202228,0.14093717584449555,0.16207775222116988,0.48573333333333335,0.5143000000000001,20.720466666666667,20.48402,53.95633333333333,53.64256,0.062713378,0.038584911,0.006795255,0.005094673,0.22596936775372478,0.2892493573440068,0.014093717584449555,0.012684345826004601,1.872115486,2.4410318856266633,0.10100497602188847,0.11134036891715149
2025,Abbottabad,19,1.4286,22.8929,47.1838,1611498,1256,0,1967,0.75,0.1260704075597616,0.3454988791167364,0,0,6.143352334287725,0.3412973519048736,0,6.763892974114768,0.37232438389622574,1.4286,0.0143,22.8929,19.3384,47.1838,60.4715,0,0.019508803,0,0.020385765,0,0.3447337222611743,0,0.021140576376674332,0,2.536869165,0,0.14093717584449555,0.9571666666666667,0.57716,21.708066666666667,21.11986,51.613033333333334,51.7922,0.048526403519920526,0.062842108,0.006795255,0.004077153,0.23007753379263693,0.2786167890438267,0.007046859,0.011274974067559644,2.8934071664962153,2.9847476778799598,0.16074484258312308,0.16550612171367668
2025,Abbottabad,20,0.2857,24.9408,37.9431,1611498,1256,0,1967,0.75,0.1048988771269275,0.3303801872647581,0.006793214,0,6.763892974114768,0.37232438389622574,0,7.384433613941811,0.4219676350823892,1.4286,1.4286,22.8929,22.8929,47.1838,47.1838,0.1260704075597616,0,0,0,0.3454988791167364,0,0,0,6.143352334287725,0,0.3412973519048736,0,1.0476333333333334,0.6343,23.57553333333333,21.99902,44.103566666666666,49.399179999999994,0.076989762,0.083821884,0.002264405,0.005435796,0.22529302212716482,0.2707574339285338,0,0.008456231,4.302415102800832,3.704718353161128,0.2378739119336998,0.20332733277335296
2025,Abbottabad,21,0.8143,26.3959,42.1644,1611498,1256,0,1967,0.75,0.2072599596158546,0.2635878896701966,0.06036309,0,7.384433613941811,0.4219676350823892,0,8.029795879361936,0.2792432879221693,0.2857,1.4286,24.9408,22.8929,37.9431,47.1838,0.1048988771269275,0.1260704075597616,0.006793214,0,0.3303801872647581,0.3454988791167364,0,0,6.763892974114768,6.143352334287725,0.37232438389622574,0.3412973519048736,0.8428666666666667,0.7943,24.7432,23.292180000000002,42.43043333333333,46.98932,0.14607641476751457,0.091547609,0.022385434666666666,0.017508414,0.31315565201723033,0.256840136,0,0.004228115,6.763892974114768,4.565709617509045,0.3785297902944962,0.25530530934559686
